"idx","pdf","bloom_level","bloom_short","sys_bloom_int","chapter","bloom_pred_0","bloom_pred_name_0","agree_0","eval_time_0","bloom_pred_1","bloom_pred_name_1","agree_1","eval_time_1","bloom_pred_2","bloom_pred_name_2","agree_2","eval_time_2","n_agree","is_2llm","is_3llm","process_time_s","question","answer"
"1","Giao_Trinh_AI_Full_Length","Bloom 1 (Nhớ)","B1","1","Chương 1","4","Bloom 4 (Phân tích)","False","1.3","1","Bloom 1 (Nhớ)","True","2.1","1","Bloom 1 (Nhớ)","True","0.8","2","True","False","2.52","Liệt kê các loại phân tích được đề cập trong việc áp dụng Lịch sử AI và các giai đoạn phát triển.","- Phân tích định tính: Đánh giá sự ảnh hưởng đến trải nghiệm người dùng cuối. | - Phân tích định lượng: Đo lường thông qua các chỉ số KPI kỹ thuật cụ thể. | - Khả năng mở rộng: Xem xét cách thức hệ thống phản ứng với khối lượng công việc tăng dần. | - Tiếp cận đa chiều: Từ lớp hạ tầng cơ sở đến lớp ứng dụng logic cấp cao."
"2","Giao_Trinh_AI_Full_Length","Bloom 1 (Nhớ)","B1","1","Chương 2","4","Bloom 4 (Phân tích)","False","0.6","4","Bloom 4 (Phân tích)","False","1.9","1","Bloom 1 (Nhớ)","True","1.2","1","False","False","2.13","Liệt kê các phương pháp phân tích được đề cập trong việc áp dụng Supervised Learning và các thuật toán hồi quy?","- Phân tích định tính: Đánh giá sự ảnh hưởng đến trải nghiệm người dùng cuối. | - Phân tích định lượng: Đo lường thông qua các chỉ số KPI kỹ thuật cụ thể. | - Khả năng mở rộng: Xem xét cách thức hệ thống phản ứng với khối lượng công việc tăng dần. | - Tiếp cận đa chiều: Từ lớp hạ tầng cơ sở đến lớp ứng dụng logic cấp cao."
"3","Giao_Trinh_AI_Full_Length","Bloom 1 (Nhớ)","B1","1","Chương 3","4","Bloom 4 (Phân tích)","False","0.9","4","Bloom 4 (Phân tích)","False","1.5","1","Bloom 1 (Nhớ)","True","1.8","1","False","False","2.48","Liệt kê các yếu tố cần xem xét khi triển khai Cấu trúc Perceptron và Lan truyền ngược trong bối cảnh thực tế.","- Phân tích định tính: Đánh giá sự ảnh hưởng đến trải nghiệm người dùng cuối. | - Phân tích định lượng: Đo lường thông qua các chỉ số KPI kỹ thuật cụ thể. | - Khả năng mở rộng: Xem xét cách thức hệ thống phản ứng với khối lượng công việc tăng dần. | - Hiểu biết về các cấu trúc dữ liệu phức tạp và các thuật toán tối ưu."
"4","Giao_Trinh_AI_Full_Length","Bloom 1 (Nhớ)","B1","1","Chương 4","4","Bloom 4 (Phân tích)","False","1.3","1","Bloom 1 (Nhớ)","True","2.6","1","Bloom 1 (Nhớ)","True","1.2","2","True","False","2.44","Liệt kê các loại phân tích được đề cập trong vấn đề Tiền xử lý văn bản tiếng Việt.","- Phân tích định tính: Đánh giá sự ảnh hưởng đến trải nghiệm người dùng cuối. | - Phân tích định lượng: Đo lường thông qua các chỉ số KPI kỹ thuật cụ thể. | - Khả năng mở rộng: Xem xét cách thức hệ thống phản ứng với khối lượng công việc tăng dần. | - Tiếp cận đa chiều: Từ lớp hạ tầng cơ sở đến lớp ứng dụng logic cấp cao."
"5","Giao_Trinh_AI_Full_Length","Bloom 1 (Nhớ)","B1","1","Chương 5","4","Bloom 4 (Phân tích)","False","0.6","4","Bloom 4 (Phân tích)","False","5.5","1","Bloom 1 (Nhớ)","True","0.7","1","False","False","2.57","Liệt kê các khía cạnh khi triển khai Object Detection với YOLO.","- Phân tích định tính: Đánh giá sự ảnh hưởng đến trải nghiệm người dùng cuối. | - Phân tích định lượng: Đo lường thông qua các chỉ số KPI kỹ thuật cụ thể. | - Khả năng mở rộng: Xem xét cách thức hệ thống phản ứng với khối lượng công việc tăng dần. | - Tiếp cận đa chiều: Từ lớp hạ tầng cơ sở đến lớp ứng dụng logic cấp cao."
"6","Giao_Trinh_AI_Full_Length","Bloom 2 (Hiểu)","B2","2","Chương 6","2","Bloom 2 (Hiểu)","True","0.6","4","Bloom 4 (Phân tích)","False","1.5","2","Bloom 2 (Hiểu)","True","1.5","2","True","False","2.58","Trình bày ý nghĩa của Tác tử thông minh và môi trường trong thiết kế hệ thống.","- Kỹ thuật và hệ tư tưởng: Tác tử thông minh và môi trường không chỉ đơn thuần là một kỹ thuật mà còn là một hệ tư tưởng trong thiết kế hệ thống. | - Vai trò then chốt: Vấn đề về Tác tử thông minh và môi trường đóng vai trò then chốt trong sự phát triển của ngành công nghệ thông tin hiện đại. | - Yêu cầu hiểu biết: Việc áp dụng Tác tử thông minh và môi trường đòi hỏi sự hiểu biết về các cấu trúc dữ liệu phức tạp và các thuật toán tối ưu. | - Thách thức thực tế: Các kỹ sư thường gặp phải những thách thức liên quan đến hiệu năng và tính bảo mật khi triển khai Tác tử thông minh và môi trường. | - Tiếp cận đa chiều: Tác tử thông minh và môi trường yêu cầu một sự tiếp cận đa chiều, từ lớp hạ tầng cơ sở đến lớp ứng dụng logic cấp cao. | - Hỗ trợ xây dựng câu hỏi: Nghiên cứu các mô hình liên quan đến Tác tử thông minh và môi trường sẽ giúp ích cho việc xây dựng các bộ câu hỏi tự luận có tính phân loại cao theo thang đo Bloom."
"7","Giao_Trinh_AI_Full_Length","Bloom 2 (Hiểu)","B2","2","Chương 7","4","Bloom 4 (Phân tích)","False","0.5","4","Bloom 4 (Phân tích)","False","8.5","2","Bloom 2 (Hiểu)","True","0.4","1","False","False","2.78","Giải thích Sự thiên kiến trong dữ liệu đào tạo không chỉ đơn thuần là một kỹ thuật mà còn là gì trong thiết kế hệ thống?","- Một hệ tư tưởng: Sự thiên kiến trong dữ liệu đào tạo còn là một hệ tư tưởng trong thiết kế hệ thống. | - Vai trò then chốt: Vấn đề về Sự thiên kiến trong dữ liệu đào tạo đóng vai trò then chốt trong sự phát triển của ngành công nghệ thông tin hiện đại. | - Yêu cầu hiểu biết: Việc áp dụng Sự thiên kiến trong dữ liệu đào tạo đòi hỏi sự hiểu biết về các cấu trúc dữ liệu phức tạp và các thuật toán tối ưu. | - Thách thức thực tế: Trong bối cảnh thực tế, các kỹ sư thường gặp phải những thách thức liên quan đến hiệu năng và tính bảo mật khi triển khai Sự thiên kiến trong dữ liệu đào tạo. | - Tiếp cận đa chiều: Sự thiên kiến trong dữ liệu đào tạo yêu cầu một sự tiếp cận đa chiều, từ lớp hạ tầng cơ sở đến lớp ứng dụng logic cấp cao. | - Lợi ích nghiên cứu: Việc nghiên cứu các mô hình liên quan đến Sự thiên kiến trong dữ liệu đào tạo sẽ giúp ích cho việc xây dựng các bộ câu hỏi tự luận có tính phân loại cao theo thang đo Bloom."
"8","Giao_Trinh_AI_Full_Length","Bloom 2 (Hiểu)","B2","2","Chương 8","4","Bloom 4 (Phân tích)","False","0.6","4","Bloom 4 (Phân tích)","False","2.7","4","Bloom 4 (Phân tích)","False","0.7","0","False","False","2.66","Giải thích Phương pháp luận nghiên cứu AI đóng vai trò then chốt như thế nào trong sự phát triển của ngành công nghệ thông tin hiện đại?","- Vai trò then chốt: Phương pháp luận nghiên cứu AI đóng vai trò then chốt trong sự phát triển của ngành công nghệ thông tin hiện đại. | - Hệ tư tưởng thiết kế hệ thống: Xét về mặt lý thuyết, Phương pháp luận nghiên cứu AI không chỉ đơn thuần là một kỹ thuật mà còn là một hệ tư tưởng trong thiết kế hệ thống. | - Hiểu biết về cấu trúc dữ liệu và thuật toán: Việc áp dụng Phương pháp luận nghiên cứu AI đòi hỏi sự hiểu biết về các cấu trúc dữ liệu phức tạp và các thuật toán tối ưu. | - Thách thức thực tế: Trong bối cảnh thực tế, các kỹ sư thường gặp phải những thách thức liên quan đến hiệu năng và tính bảo mật khi triển khai Phương pháp luận nghiên cứu AI. | - Phân tích định tính và định lượng: Phương pháp luận này bao gồm phân tích định tính để đánh giá sự ảnh hưởng đến trải nghiệm người dùng cuối và phân tích định lượng để đo lường thông qua các chỉ số KPI kỹ thuật cụ thể. | - Tiếp cận đa chiều: Phương pháp luận nghiên cứu AI yêu cầu một sự tiếp cận đa chiều, từ lớp hạ tầng cơ sở đến lớp ứng dụng logic cấp cao."
"9","Giao_Trinh_AI_Full_Length","Bloom 2 (Hiểu)","B2","2","Chương 1","4","Bloom 4 (Phân tích)","False","0.5","4","Bloom 4 (Phân tích)","False","1.3","4","Bloom 4 (Phân tích)","False","4.7","0","False","False","1.47","Giải thích vai trò then chốt của Lịch sử AI và các giai đoạn phát triển trong ngành công nghệ thông tin hiện đại.","- Vai trò lý thuyết: Lịch sử AI và các giai đoạn phát triển không chỉ đơn thuần là một kỹ thuật mà còn là một hệ tư tưởng trong thiết kế hệ thống. | - Yêu cầu hiểu biết: Việc áp dụng Lịch sử AI và các giai đoạn phát triển đòi hỏi sự hiểu biết về các cấu trúc dữ liệu phức tạp và các thuật toán tối ưu. | - Thách thức thực tế: Các kỹ sư thường gặp phải những thách thức liên quan đến hiệu năng và tính bảo mật khi triển khai Lịch sử AI và các giai đoạn phát triển. | - Phân tích định tính: Đánh giá sự ảnh hưởng đến trải nghiệm người dùng cuối. | - Phân tích định lượng: Đo lường thông qua các chỉ số KPI kỹ thuật cụ thể. | - Khả năng mở rộng: Xem xét cách thức hệ thống phản ứng với khối lượng công việc tăng dần."
"10","Giao_Trinh_AI_Full_Length","Bloom 2 (Hiểu)","B2","2","Chương 1","2","Bloom 2 (Hiểu)","True","1.6","4","Bloom 4 (Phân tích)","False","3.2","2","Bloom 2 (Hiểu)","True","1.8","2","True","False","2.38","Giải thích vai trò của Lịch sử AI và các giai đoạn phát triển trong ngành công nghệ thông tin hiện đại.","- Vai trò then chốt: Lịch sử AI và các giai đoạn phát triển đóng vai trò then chốt trong sự phát triển của ngành công nghệ thông tin hiện đại. | - Hệ tư tưởng trong thiết kế hệ thống: Xét về mặt lý thuyết, Lịch sử AI và các giai đoạn phát triển không chỉ đơn thuần là một kỹ thuật mà còn là một hệ tư tưởng trong thiết kế hệ thống. | - Đòi hỏi hiểu biết về cấu trúc dữ liệu và thuật toán: Việc áp dụng Lịch sử AI và các giai đoạn phát triển đòi hỏi sự hiểu biết về các cấu trúc dữ liệu phức tạp và các thuật toán tối ưu. | - Thách thức về hiệu năng và bảo mật: Trong bối cảnh thực tế, các kỹ sư thường gặp phải những thách thức liên quan đến hiệu năng và tính bảo mật khi triển khai Lịch sử AI và các giai đoạn phát triển. | - Yêu cầu tiếp cận đa chiều: Lịch sử AI và các giai đoạn phát triển yêu cầu một sự tiếp cận đa chiều, từ lớp hạ tầng cơ sở đến lớp ứng dụng logic cấp cao. | - Hỗ trợ xây dựng câu hỏi tự luận: Việc nghiên cứu các mô hình liên quan đến Lịch sử AI và các giai đoạn phát triển sẽ giúp ích cho việc xây dựng các bộ câu hỏi tự luận có tính phân loại cao theo thang đo Bloom."
